NAME,TEAM,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
John Diarse,DEN,WR,0,0,0,0,0,0,0,0,0,0
Gehrig Dieter,KC,WR,0,0,0,0,0,0,0,0,0,0
Austin Duke,CAR,WR,0,0,0,0,0,0,0,0,0,0
Steven Dunbar,SF,WR,0,0,0,0,0,0,0,0,0,0
Malachi Dupre,BUF,WR,0,0,0,0,0,0,0,0,0,0
Travin Dural,NO,WR,0,0,0,0,0,0,0,0,0,0
Malik Earl,NFL,WR,0,0,0,0,0,0,0,0,0,0
Julian Edelman,NE,WR,0,0,0,0,0,0,0,0,0,0
Quincy Enunwa,NYJ,WR,0,0,0,0,0,0,0,0,0,0
Amba Etta-Tawo,NYG,WR,0,0,0,0,0,0,0,0,0,0
Shay Fields,WAS,WR,0,0,0,0,0,0,0,0,0,0
Dontez Ford,DET,WR,0,0,0,0,0,0,0,0,0,0
Isaiah Ford,MIA,WR,0,0,0,0,0,0,0,0,0,0
Robert Foster,BUF,WR,0,0,0,0,0,0,0,0,0,0
Daurice Fountain,IND,WR,0,0,0,0,0,0,0,0,0,0
Mose Frazier,CAR,WR,0,0,0,0,0,0,0,0,0,0
Russell Gage,ATL,WR,0,0,0,0,0,0,0,0,0,0
Michael Gallup,DAL,WR,0,0,0,0,0,0,0,0,0,0
LaQuvionte Gonzalez,LA,WR,0,0,0,0,0,0,0,0,0,0
C.J. Goodwin,SF,WR,0,0,0,0,0,0,0,0,0,0
Janarion Grant,BAL,WR,0,0,0,0,0,0,0,0,0,0
Devin Gray,ATL,WR,0,0,0,0,0,0,0,0,0,0
Cyril Grayson,SEA,WR,0,0,0,0,0,0,0,0,0,0
Rashad Greene,JAX,WR,0,0,0,0,0,0,0,0,0,0
Trey Griffey,PIT,WR,0,0,0,0,0,0,0,0,0,0
DaeSean Hamilton,DEN,WR,0,0,0,0,0,0,0,0,0,0
Justin Hardee,NO,WR,0,0,0,0,0,0,0,0,0,0
Dwayne Harris,OAK,WR,0,0,0,0,0,0,0,0,0,0
Keon Hatcher,OAK,WR,0,0,0,0,0,0,0,0,0,0
Carlos Henderson,DEN,WR,0,0,0,0,0,0,0,0,0,0
Quadree Henderson,PIT,WR,0,0,0,0,0,0,0,0,0,0
Krishawn Hogan,IND,WR,0,0,0,0,0,0,0,0,0,0
Mikah Holder,NFL,WR,0,0,0,0,0,0,0,0,0,0
Cody Hollister,NE,WR,0,0,0,0,0,0,0,0,0,0
Germone Hopper,NFL,WR,0,0,0,0,0,0,0,0,0,0
Josh Huff,NO,WR,0,0,0,0,0,0,0,0,0,0
Steve Ishmael,IND,WR,0,0,0,0,0,0,0,0,0,0
Richie James,SF,WR,0,0,0,0,0,0,0,0,0,0
Darius Jennings,TEN,WR,0,0,0,0,0,0,0,0,0,0
Ricky Jeune,LA,WR,0,0,0,0,0,0,0,0,0,0
Charles D. Johnson,NYJ,WR,0,0,0,0,0,0,0,0,0,0
Keeon Johnson,NFL,WR,0,0,0,0,0,0,0,0,0,0
Andy Jones,DET,WR,0,0,0,0,0,0,0,0,0,0
Cayleb Jones,MIN,WR,0,0,0,0,0,0,0,0,0,0
J.J. Jones,LAC,WR,0,0,0,0,0,0,0,0,0,0
Jamaal Jones,CAR,WR,0,0,0,0,0,0,0,0,0,0
Seantavius Jones,IND,WR,0,0,0,0,0,0,0,0,0,0
Tevin Jones,PIT,WR,0,0,0,0,0,0,0,0,0,0
Lamar Jordan,ATL,WR,0,0,0,0,0,0,0,0,0,0
Marcus Kemp,KC,WR,0,0,0,0,0,0,0,0,0,0
Christian Kirk,ARI,WR,0,0,0,0,0,0,0,0,0,0
Keith Kirkwood,NO,WR,0,0,0,0,0,0,0,0,0,0
Jake Kumerow,GB,WR,0,0,0,0,0,0,0,0,0,0
Chris Lacy,DET,WR,0,0,0,0,0,0,0,0,0,0
Jake Lampman,TB,WR,0,0,0,0,0,0,0,0,0,0
Jordan Lasley,BAL,WR,0,0,0,0,0,0,0,0,0,0
Allen Lazard,JAX,WR,0,0,0,0,0,0,0,0,0,0
Lance Lenoir,DAL,WR,0,0,0,0,0,0,0,0,0,0
Andre Levrone,BAL,WR,0,0,0,0,0,0,0,0,0,0
Kyle Lewis,NFL,WR,0,0,0,0,0,0,0,0,0,0
Malcolm Lewis,MIA,WR,0,0,0,0,0,0,0,0,0,0
Tony Lippett,MIA,WR,0,0,0,0,0,0,0,0,0,0
Kolby Listenbee,NFL,WR,0,0,0,0,0,0,0,0,0,0
Devin Lucien,NFL,WR,0,0,0,0,0,0,0,0,0,0
Anthony Mahoungou,PHI,WR,0,0,0,0,0,0,0,0,0,0
Elijah Marks,KC,WR,0,0,0,0,0,0,0,0,0,0
Bradley Marquez,DET,WR,0,0,0,0,0,0,0,0,0,0
Riley McCarron,NE,WR,0,0,0,0,0,0,0,0,0,0
Ray-Ray McCloud,BUF,WR,0,0,0,0,0,0,0,0,0,0
Cameron Meredith,NO,WR,0,0,0,0,0,0,0,0,0,0
Anthony Miller,CHI,WR,0,0,0,0,0,0,0,0,0,0
Malcolm Mitchell,NE,WR,0,0,0,0,0,0,0,0,0,0
Steven Mitchell,LA,WR,0,0,0,0,0,0,0,0,0,0
David Moore,SEA,WR,0,0,0,0,0,0,0,0,0,0
DJ Moore,CAR,WR,0,0,0,0,0,0,0,0,0,0
J'Mon Moore,GB,WR,0,0,0,0,0,0,0,0,0,0
Drew Morgan,MIA,WR,0,0,0,0,0,0,0,0,0,0
Marchie Murdock,DAL,WR,0,0,0,0,0,0,0,0,0,0
George Odum,IND,WR,0,0,0,0,0,0,0,0,0,0
Francis Owusu,MIA,WR,0,0,0,0,0,0,0,0,0,0
Zach Pascal,IND,WR,0,0,0,0,0,0,0,0,0,0
Tim Patrick,DEN,WR,0,0,0,0,0,0,0,0,0,0
Andre Patton,LAC,WR,0,0,0,0,0,0,0,0,0,0
Colby Pearson,NFL,WR,0,0,0,0,0,0,0,0,0,0
Dante Pettis,SF,WR,0,0,0,0,0,0,0,0,0,0
Cam Phillips,BUF,WR,0,0,0,0,0,0,0,0,0,0
De'Mornay Pierson-El,NFL,WR,0,0,0,0,0,0,0,0,0,0
DeVier Posey,BAL,WR,0,0,0,0,0,0,0,0,0,0
Brandon Powell,DET,WR,0,0,0,0,0,0,0,0,0,0
Byron Pringle,KC,WR,0,0,0,0,0,0,0,0,0,0
Austin Proehl,BUF,WR,0,0,0,0,0,0,0,0,0,0
Trey Quinn,WAS,WR,0,0,0,0,0,0,0,0,0,0
Damion Ratley,CLE,WR,0,0,0,0,0,0,0,0,0,0
Teo Redding,DET,WR,0,0,0,0,0,0,0,0,0,0
Brandon Reilly,BUF,WR,0,0,0,0,0,0,0,0,0,0
Calvin Ridley,ATL,WR,0,0,0,0,0,0,0,0,0,0
Korey Robertson,MIN,WR,0,0,0,0,0,0,0,0,0,0
Devin Ross,TEN,WR,0,0,0,0,0,0,0,0,0,0
Fred Ross,CAR,WR,0,0,0,0,0,0,0,0,0,0
Rashad Ross,ARI,WR,0,0,0,0,0,0,0,0,0,0
Artavis Scott,LAC,WR,0,0,0,0,0,0,0,0,0,0
Caleb Scott,SEA,WR,0,0,0,0,0,0,0,0,0,0
Da'Mari Scott,CLE,WR,0,0,0,0,0,0,0,0,0,0
Jaleel Scott,BAL,WR,0,0,0,0,0,0,0,0,0,0
Rashawn Scott,MIA,WR,0,0,0,0,0,0,0,0,0,0
Tajae Sharpe,TEN,WR,0,0,0,0,0,0,0,0,0,0
Trent Sherfield,ARI,WR,0,0,0,0,0,0,0,0,0,0
Brandon Shippen,TEN,WR,0,0,0,0,0,0,0,0,0,0
Cam Sims,WAS,WR,0,0,0,0,0,0,0,0,0,0
Terrell Sinkfield,NYJ,WR,0,0,0,0,0,0,0,0,0,0
Matthew Slater,NE,WR,0,0,0,0,0,0,0,0,0,0
Jordan Smallwood,KC,WR,0,0,0,0,0,0,0,0,0,0
DeAndre Smelter,JAX,WR,0,0,0,0,0,0,0,0,0,0
Devin Smith,NYJ,WR,0,0,0,0,0,0,0,0,0,0
Tevaun Smith,JAX,WR,0,0,0,0,0,0,0,0,0,0
Tre'Quan Smith,NO,WR,0,0,0,0,0,0,0,0,0,0
Vyncint Smith,HOU,WR,0,0,0,0,0,0,0,0,0,0
Nelson Spruce,LAC,WR,0,0,0,0,0,0,0,0,0,0
Equanimeous St. Brown,GB,WR,0,0,0,0,0,0,0,0,0,0
Rod Streater,BUF,WR,0,0,0,0,0,0,0,0,0,0
Courtland Sutton,DEN,WR,0,0,0,0,0,0,0,0,0,0
Auden Tate,CIN,WR,0,0,0,0,0,0,0,0,0,0
Justin Thomas,PIT,WR,0,0,0,0,0,0,0,0,0,0
Jalen Tolliver,ARI,WR,0,0,0,0,0,0,0,0,0,0
Robert Tonyan,GB,WR,0,0,0,0,0,0,0,0,0,0
Jonah Trinnaman,NYJ,WR,0,0,0,0,0,0,0,0,0,0
Marcus Tucker,PIT,WR,0,0,0,0,0,0,0,0,0,0
Paul Turner,NFL,WR,0,0,0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,GB,WR,0,0,0,0,0,0,0,0,0,0
Jordan Veasy,TEN,WR,0,0,0,0,0,0,0,0,0,0
Darren Waller,BAL,WR,0,0,0,0,0,0,0,0,0,0
Greg Ward,PHI,WR,0,0,0,0,0,0,0,0,0,0
James Washington,PIT,WR,0,0,0,0,0,0,0,0,0,0
Justin Watson,TB,WR,0,0,0,0,0,0,0,0,0,0
Jester Weah,HOU,WR,0,0,0,0,0,0,0,0,0,0
Ka'Raun White,CIN,WR,0,0,0,0,0,0,0,0,0,0
Tim White,BAL,WR,0,0,0,0,0,0,0,0,0,0
Lucky Whitehead,NYJ,WR,0,0,0,0,0,0,0,0,0,0
Kermit Whitfield,CIN,WR,0,0,0,0,0,0,0,0,0,0
Isaac Whitney,OAK,WR,0,0,0,0,0,0,0,0,0,0
Jake Wieneke,MIN,WR,0,0,0,0,0,0,0,0,0,0
Dom Williams,NFL,WR,0,0,0,0,0,0,0,0,0,0
Jimmy Williams,DEN,WR,0,0,0,0,0,0,0,0,0,0
Derrick Willies,CLE,WR,0,0,0,0,0,0,0,0,0,0
Corey Willis,ARI,WR,0,0,0,0,0,0,0,0,0,0
Ced Wilson,DAL,WR,0,0,0,0,0,0,0,0,0,0
Marquess Wilson,PHI,WR,0,0,0,0,0,0,0,0,0,0
Javon Wims,CHI,WR,0,0,0,0,0,0,0,0,0,0
James Wright,IND,WR,0,0,0,0,0,0,0,0,0,0
Shane Wynn,JAX,WR,0,0,0,0,0,0,0,0,0,0
DeAngelo Yancey,GB,WR,0,0,0,0,0,0,0,0,0,0
Brandon Zylstra,MIN,WR,0,0,0,0,0,0,0,0,0,0
Isaiah McKenzie,DEN,WR,0,0,0,4,0,29,0,0,0,2
Andre Roberts,NYJ,WR,0,0,0,0,0,12,0,0,0,1
John Ross,CIN,WR,0,0,0,12,0,0,0,0,0,1
Kalif Raymond,NYG,WR,0,0,0,-1,0,12,0,0,0,1
